"STUDENTS CERTIFICATE
AU 22/23 ",,,,
,,,,
"School Name:         ","Higher Institute of Computer Science of Tunisia",,,
,,,,
"Academy Name ","Skills Academy Course ",,"students number (2023) ",
"IBM Skills Academy ","Blockchain ","3 IDISC + 3 IDL",18,
"IBM Skills Academy ","CyberSecurity ","3 IDISC ",10,
"IBM Skills Academy ","Data Science -","3 IDL",4,
"Cisco Academy","DevOps (DevNet) -","3 IDISC ",25,
"Cisco Academy","Introduction to Networks - Bechir ","2 ING",38,
"Cisco Academy","Switching, Routing, and Wireless Essentials - Bechir ","2 ING",18,
"Cisco Academy","Enterprise Networking, Security, and Automation - - Bechir ","3 IDISC ",18,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,11/19
